Q&A,categories
A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  3) 보통이다,['price_sensitivity']
A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  4) 만족하는 편이다,['price_sensitivity']
A5-8. 지출액 규모 큰 가공식품 만족도(전반적 만족도)  5) 매우 만족한다,['price_sensitivity']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  1) 가격",['price_sensitivity']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  2) 용량",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']"
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  4) 제조일자/유통기한",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  5) 품질인증 표시",['premium_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  6) 원산지",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  7) 영양성분",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  8) 식품첨가물",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위  9) 원재료/성분 함량",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 10) 포장 디자인",['premium_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 11) 포장 재활용 여부",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 12) 기능성 표시/식품의 효능",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 14) 보관방법",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 15) 알코올 도수",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 51) 맛",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_1순위 95) 구입하지 않음",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  1) 가격",['price_sensitivity']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  2) 용량",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']"
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  4) 제조일자/유통기한",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  5) 품질인증 표시",['premium_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  6) 원산지",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  7) 영양성분",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  8) 식품첨가물",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위  9) 원재료/성분 함량",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 10) 포장 디자인",['premium_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 11) 포장 재활용 여부",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 12) 기능성 표시/식품의 효능",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 13) 섭취 주의사항(알레르기 유발 등)",['health_orientation']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 14) 보관방법",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 15) 알코올 도수",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 51) 맛",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_2순위 95) 구입하지 않음",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  1) 가격",['price_sensitivity']
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  2) 용량",
"BA2. 가공식품 품목별 구입 시 우선 확인하는 사항(육류가공품, 알가공품)_3순위  3) 브랜드/상표/제조사","['premium_orientation', 'brand_loyalty']"
