Q&A,categories
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 11) 포장 재활용 여부,
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 12) 기능성 표시/식품의 효능,['health_orientation']
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 14) 보관방법,
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 15) 알코올 도수,
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 51) 맛,
BD3. 가공식품 품목별 구입 시 우선 확인하는 사항(조미식품)_3순위 95) 구입하지 않음,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  1) 가격,['price_sensitivity']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  2) 용량,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  4) 제조일자/유통기한,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  5) 품질인증 표시,['premium_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  6) 원산지,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  7) 영양성분,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  8) 식품첨가물,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위  9) 원재료/성분 함량,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 10) 포장 디자인,['premium_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 11) 포장 재활용 여부,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 12) 기능성 표시/식품의 효능,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 14) 보관방법,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 15) 알코올 도수,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 51) 맛,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_1순위 95) 구입하지 않음,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  1) 가격,['price_sensitivity']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  2) 용량,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  4) 제조일자/유통기한,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  5) 품질인증 표시,['premium_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  6) 원산지,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  7) 영양성분,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  8) 식품첨가물,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위  9) 원재료/성분 함량,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 10) 포장 디자인,['premium_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 11) 포장 재활용 여부,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 12) 기능성 표시/식품의 효능,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 14) 보관방법,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 15) 알코올 도수,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 51) 맛,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_2순위 95) 구입하지 않음,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  1) 가격,['price_sensitivity']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  2) 용량,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  4) 제조일자/유통기한,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  5) 품질인증 표시,['premium_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  6) 원산지,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  7) 영양성분,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  8) 식품첨가물,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위  9) 원재료/성분 함량,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 10) 포장 디자인,['premium_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 11) 포장 재활용 여부,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 12) 기능성 표시/식품의 효능,['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 14) 보관방법,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 15) 알코올 도수,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 51) 맛,
BE2. 가공식품 품목별 구입 시 우선 확인하는 사항(유지류)_3순위 95) 구입하지 않음,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  1) 가격,['price_sensitivity']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  2) 용량,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  4) 제조일자/유통기한,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  5) 품질인증 표시,['premium_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  6) 원산지,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  7) 영양성분,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  8) 식품첨가물,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위  9) 원재료/성분 함량,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 10) 포장 디자인,['premium_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 11) 포장 재활용 여부,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 12) 기능성 표시/식품의 효능,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 14) 보관방법,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 15) 알코올 도수,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 51) 맛,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_1순위 95) 구입하지 않음,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  1) 가격,['price_sensitivity']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  2) 용량,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  4) 제조일자/유통기한,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  5) 품질인증 표시,['premium_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  6) 원산지,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  7) 영양성분,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  8) 식품첨가물,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위  9) 원재료/성분 함량,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 10) 포장 디자인,['premium_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 11) 포장 재활용 여부,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 12) 기능성 표시/식품의 효능,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 14) 보관방법,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 15) 알코올 도수,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 51) 맛,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_2순위 95) 구입하지 않음,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  1) 가격,['price_sensitivity']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  2) 용량,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  4) 제조일자/유통기한,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  5) 품질인증 표시,['premium_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  6) 원산지,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  7) 영양성분,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  8) 식품첨가물,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위  9) 원재료/성분 함량,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 10) 포장 디자인,['premium_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 11) 포장 재활용 여부,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 12) 기능성 표시/식품의 효능,['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 14) 보관방법,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 15) 알코올 도수,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 51) 맛,
BE3. 가공식품 품목별 구입 시 우선 확인하는 사항(유가공품)_3순위 95) 구입하지 않음,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  1) 가격,['price_sensitivity']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  2) 용량,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  4) 제조일자/유통기한,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  5) 품질인증 표시,['premium_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  6) 원산지,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  7) 영양성분,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  8) 식품첨가물,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위  9) 원재료/성분 함량,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 10) 포장 디자인,['premium_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 11) 포장 재활용 여부,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 12) 기능성 표시/식품의 효능,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 14) 보관방법,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 15) 알코올 도수,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 51) 맛,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_1순위 95) 구입하지 않음,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  1) 가격,['price_sensitivity']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  2) 용량,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  4) 제조일자/유통기한,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  5) 품질인증 표시,['premium_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  6) 원산지,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  7) 영양성분,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  8) 식품첨가물,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위  9) 원재료/성분 함량,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 10) 포장 디자인,['premium_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 11) 포장 재활용 여부,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 12) 기능성 표시/식품의 효능,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 14) 보관방법,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 15) 알코올 도수,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 51) 맛,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_2순위 95) 구입하지 않음,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  1) 가격,['price_sensitivity']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  2) 용량,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  4) 제조일자/유통기한,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  5) 품질인증 표시,['premium_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  6) 원산지,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  7) 영양성분,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  8) 식품첨가물,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위  9) 원재료/성분 함량,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 10) 포장 디자인,['premium_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 11) 포장 재활용 여부,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 12) 기능성 표시/식품의 효능,['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 14) 보관방법,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 15) 알코올 도수,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 51) 맛,
BF2. 가공식품 품목별 구입 시 우선 확인하는 사항(빵 및 떡류)_3순위 95) 구입하지 않음,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  1) 가격,['price_sensitivity']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  2) 용량,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  4) 제조일자/유통기한,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  5) 품질인증 표시,['premium_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  6) 원산지,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  7) 영양성분,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  8) 식품첨가물,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위  9) 원재료/성분 함량,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 10) 포장 디자인,['premium_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 11) 포장 재활용 여부,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 12) 기능성 표시/식품의 효능,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 14) 보관방법,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 15) 알코올 도수,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 51) 맛,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_1순위 95) 구입하지 않음,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  1) 가격,['price_sensitivity']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  2) 용량,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  4) 제조일자/유통기한,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  5) 품질인증 표시,['premium_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  6) 원산지,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  7) 영양성분,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  8) 식품첨가물,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위  9) 원재료/성분 함량,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 10) 포장 디자인,['premium_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 11) 포장 재활용 여부,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 12) 기능성 표시/식품의 효능,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 14) 보관방법,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 15) 알코올 도수,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 51) 맛,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_2순위 95) 구입하지 않음,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  1) 가격,['price_sensitivity']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  2) 용량,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  4) 제조일자/유통기한,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  5) 품질인증 표시,['premium_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  6) 원산지,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  7) 영양성분,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  8) 식품첨가물,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위  9) 원재료/성분 함량,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 10) 포장 디자인,['premium_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 11) 포장 재활용 여부,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 12) 기능성 표시/식품의 효능,['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 14) 보관방법,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 15) 알코올 도수,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 51) 맛,
BF3. 가공식품 품목별 구입 시 우선 확인하는 사항(과자류)_3순위 95) 구입하지 않음,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  1) 가격,['price_sensitivity']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  2) 용량,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  4) 제조일자/유통기한,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  5) 품질인증 표시,['premium_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  6) 원산지,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  7) 영양성분,['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  8) 식품첨가물,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위  9) 원재료/성분 함량,['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 10) 포장 디자인,['premium_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 11) 포장 재활용 여부,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 12) 기능성 표시/식품의 효능,['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 14) 보관방법,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 15) 알코올 도수,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 51) 맛,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_1순위 95) 구입하지 않음,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  1) 가격,['price_sensitivity']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  2) 용량,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  4) 제조일자/유통기한,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  5) 품질인증 표시,['premium_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  6) 원산지,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  7) 영양성분,['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  8) 식품첨가물,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위  9) 원재료/성분 함량,['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 10) 포장 디자인,['premium_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 11) 포장 재활용 여부,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 12) 기능성 표시/식품의 효능,['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 13) 섭취 주의사항(알레르기 유발 등),['health_orientation']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 14) 보관방법,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 15) 알코올 도수,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 51) 맛,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_2순위 95) 구입하지 않음,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_3순위  1) 가격,['price_sensitivity']
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_3순위  2) 용량,
BG2. 가공식품 품목별 구입 시 우선 확인하는 사항(면류)_3순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
