id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking'
4I211015,여자,60대 이상,서비스 종사자,중졸 이하,경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.16484670306593868,0.11850696813176104,0.06830227089256256,0.1388543823326432,0.05289044603153214,0.11091820987654322,0.35719045715047315
1I000347,남자,60대 이상,서비스 종사자,고졸(대학 재학 포함),경상북도,1세대가족,기혼,맞벌이 함,400-500만원 미만,0.1761864762704746,0.10973589318779846,0.0397669439472114,0.13609385783298825,0.06259264250101065,0.09837962962962964,0.3429294948687192
1I000336,여자,60대 이상,판매 종사자,중졸 이하,경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.17051658966820665,0.10973589318779846,0.049348917201923415,0.13609385783298825,0.06636571890580784,0.1089891975308642,0.34519525523124084
1I000330,여자,60대 이상,판매 종사자,중졸 이하,경상북도,1인 가구,기혼,맞벌이 하지 않음,200-300만원 미만,0.15581688366232677,0.11850696813176104,0.0665473307360219,0.1388543823326432,0.05605713515698693,0.1089891975308642,0.3655870984939358
1I000327,여자,50대,주부,고졸(대학 재학 포함),경상북도,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.16904661906761864,0.11850696813176104,0.06293215401354814,0.1388543823326432,0.0627273952297534,0.12152777777777778,0.36292149806743973
1I000257,여자,50대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경상북도,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.15875682486350273,0.09804112659584836,0.05134954898037977,0.11953071083505866,0.05228405875218973,0.11284722222222222,0.35359189657470347
4E092008,여자,60대 이상,주부,고졸(대학 재학 포함),대전광역시,2세대가족,기혼,맞벌이 하지 않음,600-700만원 미만,0.15476690466190676,0.196959360686093,0.09592502895651259,0.15058661145617666,0.08462471365045142,0.14467592592592593,0.2452352392376383
3I210005,여자,60대 이상,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.19361612767744646,0.11168502095312348,0.04889263276122285,0.1388543823326432,0.062121007950411,0.10223765432098766,0.3509262961482074
1I000273,남자,50대,기능원 및 관련 기능 종사자,중졸 이하,경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.06005879882402353,0.09550726050092584,0.0408199080411358,0.11870255348516218,0.02061716749764183,0.1900077160493827,0.33186725309876053
4E092039,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),대전광역시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1509869802603948,0.18653152714160415,0.10245340633884384,0.13954451345755692,0.07707856084085703,0.15364583333333334,0.2376382780221245
1O000136,여자,40대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),강원도,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.16757664846703066,0.11119773901179222,0.11112281071215473,0.13126293995859212,0.08442258455733728,0.0925925925925926,0.12928162068505933
1I000291,여자,50대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경상북도,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.16442671146577068,0.11850696813176104,0.07216313923695201,0.1388543823326432,0.06441180433903786,0.11506558641975309,0.35185925629748105
1I000290,여자,50대,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),경상북도,2세대가족,기혼,맞벌이 함,400-500만원 미만,0.08651826963460732,0.09482506578306209,0.03334386297427258,0.10807453416149068,0.02775906212100795,0.1787229938271605,0.32653605224576837
4E092042,여자,50대,서비스 종사자,고졸(대학 재학 포함),대전광역시,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,500-600만원 미만,0.16043679126417473,0.18136633856349285,0.07749815731283564,0.1533471359558316,0.09028432825764722,0.17023533950617284,0.21324803411968546
3I210003,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.08651826963460732,0.08605399083909951,0.03334386297427258,0.10807453416149068,0.02775906212100795,0.1787229938271605,0.32653605224576837
