상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원참치 살코기 라이트스탠다드 90gx5캔,참치/연어통조림,통조림,반찬/주재료,8500,5.0,2,90,5,450,188.89,3744170,https://www.dongwonmall.com/product/detail.do?productId=003744170,동원참치 살코기 라이트스탠다드,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 하루미 매콤달콤 떡볶이양념 130g,기타양념,양념,조미료,1980,5.0,2,130,1,130,152.31,3766706,https://www.dongwonmall.com/product/detail.do?productId=003766706,동원 하루미 매콤달콤 떡볶이양념,소스/조미료,,스파이시(고추소스),,,,,False,False,True
[4%적립금] 동원 양반 버섯 야채죽 420g x 20개입 x 3박스,죽/스프,즉석조리식품,간편식사,123800,5.0,2,420,60,25200,49.13,3686512,https://www.dongwonmall.com/product/detail.do?productId=003686512,동원 양반 버섯 야채죽 박스,죽류,레토르트죽,야채,전자레인지,식사대용,파우치,,False,False,True
[4%적립금] 동원 양반 밤단팥죽 420g x 20개입 x 3박스,죽/스프,즉석조리식품,간편식사,123800,5.0,2,420,60,25200,49.13,3686509,https://www.dongwonmall.com/product/detail.do?productId=003686509,동원 양반 밤단팥죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 자연산골뱅이탕(얼큰한국물) 300g x 5캔,골뱅이/수산통조림,통조림,안주/반찬,21500,5.0,2,300,5,1500,143.33,3600782,https://www.dongwonmall.com/product/detail.do?productId=003600782,동원 자연산골뱅이탕,즉석국/탕,국/탕,"해물, 골뱅이",전자레인지,식사대용,캔,,False,False,True
동원 자연산골뱅이탕(얼큰한국물) 300g x 10캔,골뱅이/수산통조림,통조림,안주/반찬,40000,5.0,2,300,10,3000,133.33,3600783,https://www.dongwonmall.com/product/detail.do?productId=003600783,동원 자연산골뱅이탕,즉석국/탕,국/탕,"해물, 골뱅이",전자레인지,식사대용,캔,,False,False,True
동원 김치찌개용 꽁치 300g x 9캔,고등어/꽁치통조림,통조림,반찬,35100,5.0,2,300,9,2700,130.0,3568986,https://www.dongwonmall.com/product/detail.do?productId=003568986,동원 김치찌개용 꽁치,즉석국/탕,국/탕,"해물, 꽁치",전자레인지,식사대용,캔,,False,False,True
비비드그린 저당 단호박죽 280g,죽/스프,즉석조리식품,간편식사,3500,5.0,2,280,1,280,125.0,3636683,https://www.dongwonmall.com/product/detail.do?productId=003636683,비비드그린 저당 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
비비드그린 저당 단호박죽 280g,메인요리,즉석조리식품,메인요리,3500,5.0,2,280,1,280,125.0,3636683,https://www.dongwonmall.com/product/detail.do?productId=003636683,비비드그린 저당 단호박죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 떡볶이의신 짜장떡볶이 385g (2인분) x 3개,떡볶이/떡류,떡류,간식,12900,5.0,2,385,3,1155,111.69,1572229,https://www.dongwonmall.com/product/detail.do?productId=001572229,동원 떡볶이의신 짜장떡볶이,,,확인필요,,,,,False,False,True
동원 미니파인코코 227g x 3캔,과일/옥수수/팥,통조림,간식/요리재료,5700,4.0,2,227,3,681,83.7,1478539,https://www.dongwonmall.com/product/detail.do?productId=001478539,동원 미니파인코코,,,확인필요,,,캔,,False,False,True
[4% 적립금] 동원 양반 떡국떡 700gx10개(1박스) / 실온,떡볶이/떡류,떡류,간식,44000,5.0,2,700,10,7000,62.86,3745486,https://www.dongwonmall.com/product/detail.do?productId=003745486,동원 양반 떡국떡 실온,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 Dole 파인애플 432g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,16000,4.5,2,432,6,2592,61.73,3618601,https://www.dongwonmall.com/product/detail.do?productId=003618601,동원 Dole 파인애플,,,확인필요,,,캔,,False,False,True
동원 양반 들깨닭죽 420g x 20개,죽/스프,즉석조리식품,간편식사,51000,5.0,2,420,20,8400,60.71,3645677,https://www.dongwonmall.com/product/detail.do?productId=003645677,동원 양반 들깨닭죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 복숭아 백도 400g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,14000,5.0,2,400,6,2400,58.33,3618535,https://www.dongwonmall.com/product/detail.do?productId=003618535,동원 복숭아 백도,,,확인필요,,,캔,,False,False,True
[동원] 동원참치뱃살 깊은 간장맛 135g,참치/연어통조림,통조림,반찬/주재료,3480,5.0,1,135,1,135,257.78,3811229,https://www.dongwonmall.com/product/detail.do?productId=003811229,동원참치뱃살 깊은 간장맛,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 자연산왕골뱅이 400g,골뱅이/수산통조림,통조림,안주/반찬,9980,5.0,1,400,1,400,249.5,3600747,https://www.dongwonmall.com/product/detail.do?productId=003600747,동원 자연산왕골뱅이,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
[동원] 동원 참치뱃살 깊은간장맛 135gx10캔,참치/연어통조림,통조림,반찬/주재료,32800,5.0,1,135,10,1350,242.96,3811264,https://www.dongwonmall.com/product/detail.do?productId=003811264,동원 참치뱃살 깊은간장맛,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
양반 대구곤이 지리탕 700g,한식,즉석조리식품,메인요리,15900,5.0,1,700,1,700,227.14,3842800,https://www.dongwonmall.com/product/detail.do?productId=003842800,양반 대구곤이 지리탕,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 을지로 골뱅이 & 구운아귀채 300g x 2캔 / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,13400,5.0,1,300,2,600,223.33,3600758,https://www.dongwonmall.com/product/detail.do?productId=003600758,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원 고추참치 90g x 5캔,참치/연어통조림,통조림,반찬/주재료,10020,5.0,1,90,5,450,222.67,3743879,https://www.dongwonmall.com/product/detail.do?productId=003743879,동원 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원 을지로 골뱅이 & 구운아귀채 300g x 3캔 / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,19800,4.0,1,300,3,900,220.0,3600759,https://www.dongwonmall.com/product/detail.do?productId=003600759,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원홈푸드 비비드키친 저당 잡채양념 240g,기타양념,양념,조미료,5280,5.0,1,240,1,240,220.0,3832648,https://www.dongwonmall.com/product/detail.do?productId=003832648,동원홈푸드 비비드키친 저당 잡채양념,소스/조미료,,확인필요,,,,,False,False,True
동원 을지로 골뱅이 & 구운아귀채 300g x 5캔 / 참치액소스,골뱅이/수산통조림,통조림,안주/반찬,32500,5.0,1,300,5,1500,216.67,3600760,https://www.dongwonmall.com/product/detail.do?productId=003600760,동원 을지로 골뱅이 & 구운아귀채 참치액소스,수산가공/통조림,,"해물, 골뱅이",즉석,식재료,캔,,False,False,True
동원참치 루피는 참치마요 100g x 5캔,참치/연어통조림,통조림,반찬/주재료,9500,5.0,1,100,5,500,190.0,3569157,https://www.dongwonmall.com/product/detail.do?productId=003569157,동원참치 루피는 참치마요,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 고추참치 90g x 10캔,참치/연어통조림,통조림,반찬/주재료,16500,5.0,1,90,10,900,183.33,3743881,https://www.dongwonmall.com/product/detail.do?productId=003743881,동원 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
[4%적립금] 동원 양반 영양닭죽 285g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,116600,5.0,1,285,72,20520,56.82,3686419,https://www.dongwonmall.com/product/detail.do?productId=003686419,동원 양반 영양닭죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 김치찌개용 꽁치 300g,고등어/꽁치통조림,통조림,반찬,5000,5.0,1,300,1,300,166.67,3568980,https://www.dongwonmall.com/product/detail.do?productId=003568980,동원 김치찌개용 꽁치,즉석국/탕,국/탕,"해물, 꽁치",전자레인지,식사대용,캔,,False,False,True
